"","yrs","ages","vals","model","var_param","species","sd"
"38224",30,5,0.611432984618753,"2D_AR1","Marginal","atkamack",0.0170689075175901
"38225",31,5,0.700458892731663,"2D_AR1","Marginal","atkamack",0.0280592151661273
"38226",32,5,0.722579109905299,"2D_AR1","Marginal","atkamack",0.0289613836559587
"38227",33,5,0.669129840952435,"2D_AR1","Marginal","atkamack",0.0357994892977538
"38228",34,5,0.671149599394745,"2D_AR1","Marginal","atkamack",0.0373859019979689
"38229",35,5,0.755765740834516,"2D_AR1","Marginal","atkamack",0.039900719468701
"38230",36,5,0.658027452281401,"2D_AR1","Marginal","atkamack",0.0366552504174133
"38231",37,5,0.741081205639263,"2D_AR1","Marginal","atkamack",0.0391838123432113
"38232",38,5,0.73716023983648,"2D_AR1","Marginal","atkamack",0.0457414505240385
"38233",39,5,0.678058034066966,"2D_AR1","Marginal","atkamack",0.00995739164534582
"38234",40,5,0.680723330478333,"2D_AR1","Marginal","atkamack",0.0127908051531499
"38235",41,5,0.752364320035194,"2D_AR1","Marginal","atkamack",0.021145582126191
"38236",42,5,0.712420390843906,"2D_AR1","Marginal","atkamack",0.0246769202102782
"38237",43,5,0.780887318306852,"2D_AR1","Marginal","atkamack",0.0272495307746873
"38238",1,6,0.505268956418816,"2D_AR1","Marginal","atkamack",0.0287910012543835
"38239",2,6,0.396967812582238,"2D_AR1","Marginal","atkamack",0.0324500518370957
"38240",3,6,0.469602269011839,"2D_AR1","Marginal","atkamack",0.0298146852292757
"38241",4,6,0.626993436419917,"2D_AR1","Marginal","atkamack",0.0333458383610957
"38242",5,6,0.630208870437491,"2D_AR1","Marginal","atkamack",0.0361444806351534
"38243",6,6,0.786845185672008,"2D_AR1","Marginal","atkamack",0.0103777603312185
"38244",7,6,0.798154584970941,"2D_AR1","Marginal","atkamack",0.0174473790863751
"38245",8,6,0.808052602413519,"2D_AR1","Marginal","atkamack",0.0241741690417905
"38246",9,6,0.774165581409596,"2D_AR1","Marginal","atkamack",0.0297810418606963
"38247",10,6,0.756613381331842,"2D_AR1","Marginal","atkamack",0.0316541061160593
"38248",11,6,0.958035712816925,"2D_AR1","Marginal","atkamack",0.03492658441316
"38249",12,6,0.692857143812989,"2D_AR1","Marginal","atkamack",0.0402316111034512
"38250",13,6,0.67113142273683,"2D_AR1","Marginal","atkamack",0.0470655583741404
"38251",14,6,0.982121736151495,"2D_AR1","Marginal","atkamack",0.0460476951983193
"38252",15,6,0.659686679436768,"2D_AR1","Marginal","atkamack",0.040177740600211
"38253",16,6,0.958828434173342,"2D_AR1","Marginal","atkamack",0.00933658390741043
"38254",17,6,0.826179888672417,"2D_AR1","Marginal","atkamack",0.0212383640596828
"38255",18,6,0.774081358135681,"2D_AR1","Marginal","atkamack",0.0252480251268862
"38256",19,6,0.692263400975329,"2D_AR1","Marginal","atkamack",0.0290660763941313
"38257",20,6,0.744036974501595,"2D_AR1","Marginal","atkamack",0.0308269328369037
"38258",21,6,0.902191344103042,"2D_AR1","Marginal","atkamack",0.032572971491565
"38259",22,6,0.683680818085836,"2D_AR1","Marginal","atkamack",0.035510185039552
"38260",23,6,0.839500192860203,"2D_AR1","Marginal","atkamack",0.0339615578203428
"38261",24,6,0.779596292051545,"2D_AR1","Marginal","atkamack",0.0374413341784448
"38262",25,6,0.838545091273349,"2D_AR1","Marginal","atkamack",0.0411971947200792
"38263",26,6,0.721224166178458,"2D_AR1","Marginal","atkamack",0.00968983174485202
"38264",27,6,0.744357201618759,"2D_AR1","Marginal","atkamack",0.0179677271361316
"38265",28,6,0.68058547406371,"2D_AR1","Marginal","atkamack",0.0239537265673301
"38266",29,6,0.660460189572418,"2D_AR1","Marginal","atkamack",0.0302496034417641
"38267",30,6,0.647863836269936,"2D_AR1","Marginal","atkamack",0.0320426425775108
"38268",31,6,0.766100875690174,"2D_AR1","Marginal","atkamack",0.0349916203598582
"38269",32,6,0.719811778477362,"2D_AR1","Marginal","atkamack",0.0344328742377628
"38270",33,6,0.731944488285858,"2D_AR1","Marginal","atkamack",0.0389918951247994
"38271",34,6,0.686141500747447,"2D_AR1","Marginal","atkamack",0.0377409757825079
"38272",35,6,0.770180828872887,"2D_AR1","Marginal","atkamack",0.0457992686384719
"38273",36,6,0.714530520285659,"2D_AR1","Marginal","atkamack",0.0109578203850841
"38274",37,6,0.860757167616556,"2D_AR1","Marginal","atkamack",0.0126530983567495
"38275",38,6,0.837329410402857,"2D_AR1","Marginal","atkamack",0.0196817108276552
"38276",39,6,0.703674294264129,"2D_AR1","Marginal","atkamack",0.0254665786670109
"38277",40,6,0.706671632755181,"2D_AR1","Marginal","atkamack",0.0255434093391724
"38278",41,6,0.783279232500419,"2D_AR1","Marginal","atkamack",0.0304083684318037
"38279",42,6,0.780874796509902,"2D_AR1","Marginal","atkamack",0.0303700344064696
"38280",43,6,0.750345407259597,"2D_AR1","Marginal","atkamack",0.033098033812644
"38281",1,7,0.381516897719559,"2D_AR1","Marginal","atkamack",0.0354007653152814
"38282",2,7,0.370298697575099,"2D_AR1","Marginal","atkamack",0.0393604071671073
"38283",3,7,0.546400853247802,"2D_AR1","Marginal","atkamack",0.00899995903610878
"38284",4,7,0.549492119294325,"2D_AR1","Marginal","atkamack",0.0131088577767063
"38285",5,7,0.548042336858288,"2D_AR1","Marginal","atkamack",0.0180531026092109
"38286",6,7,0.550141327630202,"2D_AR1","Marginal","atkamack",0.0229709128367834
"38287",7,7,0.55210674931602,"2D_AR1","Marginal","atkamack",0.0281765263986365
"38288",8,7,0.876270282557457,"2D_AR1","Marginal","atkamack",0.03134293884895
"38289",9,7,0.81337793261743,"2D_AR1","Marginal","atkamack",0.0307300548523879
"38290",10,7,0.827175267530285,"2D_AR1","Marginal","atkamack",0.0282703082086571
"38291",11,7,1.02152885113239,"2D_AR1","Marginal","atkamack",0.034366642810589
"38292",12,7,0.783098804880382,"2D_AR1","Marginal","atkamack",0.0415082034934854
"38293",13,7,0.820276610931388,"2D_AR1","Marginal","atkamack",0.00762655015395894
"38294",14,7,1.30085437437916,"2D_AR1","Marginal","atkamack",0.0136190544949833
